"","Music Concept WT                                         ","หน้า   :        1"
"","สินค้าคงเหลือ แยกตามคลังสินค้า    ","ณ วันที่  24 พ.ค. 2569"
"","รหัสสินค้าจาก","001-01005-000     ","ถึง","VP-ADAPTOR-9V","วันที่ : 24/05/2569"
"","หมวดสินค้าจาก","                  ","ถึง","9999"
"","คลังสินค้าจาก","01                ","ถึง","06"
"","คลัง","","รหัสสินค้า","ชื่อสินค้า","","","","","","  จำนวน","","ราคาต่อหน่วย","","มูลค่าคงเหลือ","ยอดค้างรับ","ยอดค้างส่ง"
"","PL","","","","ล๊อตคงเหลือ","","  จำนวน","ราคาต่อหน่วย","มูลค่าในล๊อต"
"","01","คลังมิวสิกคอนเซพท์"
"","","","002-01188-RD","KORG RK100S 2 RED","","","","","",1,"เครื่อง",,"",0.00,"          16"
"","","","002-01194","KORG NTS-2 OSC BOOK","","","","","",1,"เครื่อง",,"",0.00,"           7"
"","","","002-01200","KORG NTS-2 OSC","","","","","",1,"เครื่อง",,"",0.00,"           7"
"","","","002-01206","KORG MPS-10 DRUM, PERCUSSION & SAMPLER PAD","","","","","",1,"เครื่อง",,"",0.00,"           4"
"","","","002-01206-MBK","KORG MICROKORG 2 BLACK","","","","","",2,"เครื่อง",,"",0.00,"           8"
"","","","002-01207","KORG EAR PHONES PIANO RECORD","","","","","",1,"ชุด",,"",0.00,"           6"
"","","","002-01209","KORG HANDY TRAXX TUBE","","","","","",1,"เครื่อง",,"",0.00,"           1"
"","","","002-01213","KORG HANDY TRAXX 1BIT","","","","","",1,"เครื่อง",,"",0.00,"           1"
"","","","002-02028","KORG KAOSSILATOR MINI","","","","","",1,"เครื่อง",,"",0.00,"           1"
"","","","002-02032","KORG KAOSS PAD QUAD","","","","","",2,"เครื่อง",,"",0.00,"           6"
"","","","002-02033","KORG KAOSSILATOR 2 (KO2)สีเหลือง","","","","","",8,"เครื่อง",,"",0.00,"          13"
"","","","002-02034","KORG MINI KAOSSPAP 2 (KP2)","","","","","",5,"เครื่อง",,"",0.00,"          19"
"","","","002-02036-BL","KORG SYNTH. MODULE ELECTRIBE 2 BLUE","","","","","",1,"เครื่อง",,"",0.00
"","","","002-02041","KORG PIANO GS-X","","","","","",1,"เครื่อง",,"",0.00,"           1"
"","","","002-02043","KORG MICRO AUDIO 022","","","","","",1,"ตัว",,"",0.00,"           1"
"","","","002-03082","VOX LIL' LOOPER VLL-1","","","","","",8,"เครื่อง",,"",0.00,"          37"
"","","","002-03083-GTR","VOX STOMPLAB IG SL1G GUITAR","","","","","",1,"เครื่อง",,"",0.00,"           4","          16"
"","","","002-03088","VOX AMPHONES ACTIVE BASS","","","","","",1,"ชุด",,"",0.00,"          41"
"","","","002-03095","KORG EFFECTS NUVIBE VIBRATO CHORUS","","","","","",2,"เครื่อง",,"",0.00
"","","","002-03100-CD","VOX EFFECT VE COPPERHEAD DRIVE","","","","","",1,"ตัว",,"",0.00,"           3"
"","","","002-03100-CE","VOX EFFECT VE CUTTING EDGE","","","","","",1,"ตัว",,"",0.00,"           5"
"","","","002-03100-ME","VOX EFFECT VE MYSTIC EDGE","","","","","",2,"ตัว",,"",0.00,"           5"
"","","","002-03100-SD","VOX EFFECT VE SILK DRIVE","","","","","",1,"ตัว",,"",0.00,"           1"
"","","","002-03101","KORG EFFECT PEDAL HD-S","","","","","",2,"ตัว",,"",0.00,"           2"
"","","","002-03102","KORG EFFECT PEDAL TR-S","","","","","",2,"ตัว",,"",0.00,"           2"
"","","","002-05019","KORG TUNER DT-7","","","","","",1,"เครื่อง",,"",0.00
"","","","002-05045","KORG TUNER AW-2U (UKULELE)","","","","","",1,"เครื่อง",,"",0.00,"           2"
"","Music Concept WT                                         ","หน้า   :        3"
"","สินค้าคงเหลือ แยกตามคลังสินค้า    ","ณ วันที่  24 พ.ค. 2569"
"","รหัสสินค้าจาก","001-01005-000     ","ถึง","VP-ADAPTOR-9V","วันที่ : 24/05/2569"
"","คลัง","","รหัสสินค้า","ชื่อสินค้า","","","","","","  จำนวน","","ราคาต่อหน่วย","","มูลค่าคงเหลือ","ยอดค้างรับ","ยอดค้างส่ง"
"","","","002-05054","KORG CONTACT MICROPHONE CM-200 BLACK","","","","","",3,"ตัว",,"",0.00,"          11"
"","","","002-05061","KORG ACOUSTIC TUNER RIMPITCH-C RP-C1","","","","","",5,"ตัว",,"",0.00,"          40","          10"
"","","","002-05072","KORG TUNER WDT-1 WALL DISPLAY","","","","","",1,"เครื่อง",,"",0.00
"","","","002-05082","KORG TUNER PITCHCLIP2 PC-2","","","","","",6,"เครื่อง",,"",0.00,"         487","          10"
"","","","002-05086","KORG TUNER PITCHCLIP2 PC-2+","","","","","",17,"ตัว",,"",0.00,"         874","          50"
"","","","002-05087","VOX PEDAL TUNER VXT-1","","","","","",4,"เครื่อง",,"",0.00,"           8"
"","","","002-05088","KORG TUNER PB-X-MINI","","","","","",2,"เครื่อง",,"",0.00,"         101","          20"
"","","","002-05089","KORG TUNER PB-XS","","","","","",2,"เครื่อง",,"",0.00,"          48"
"","","","002-05090","KORG TUNER OT-120","","","","","",3,"เครื่อง",,"",0.00,"          11"
"","","","002-05099","KORG TUNER PITCHBLACK PB-X","","","","","",3,"ตัว",,"",0.00,"          14"
"","","","002-05099-BL","KORG PITCHBLACK X BLUE","","","","","",2,"ตัว",,"",0.00,"           6"
"","","","002-05099-CR","KORG PITCHBLACK X CREAM","","","","","",2,"ตัว",,"",0.00,"           6"
"","","","002-05100","KORG PB-X PRO","","","","","",1,"เครื่อง",,"",0.00,"          16"
"","","","002-05114","KORG METRONOME BEATLAB BTL MINI+PAD","","","","","",2,"เครื่อง",,"",0.00
"","","","002-05118-BK","KORG PITCH STRAP TUNER PST-1 BLACK","","","","","",2,"ตัว",,"",0.00,"           5"
"","","","002-05118-GD","KORG PITCH STRAP TUNER PST-1 GOLD","","","","","",5,"ตัว",,"",0.00,"           5"
"","","","002-05118-SV","KORG PITCH STRAP TUNER PST-1 SILVER","","","","","",5,"ตัว",,"",0.00,"           9"
"","","","002-05119-BK","KORG TUNER TM-70T BLACK","","","","","",3,"ตัว",,"",0.00,"          46"
"","","","002-07003","KORG EXPRESSION PEDAL EXP-2","","","","","",1,"ตัว",,"",0.00,"          11"
"","","","002-07009","KORG DAMPER PEDAL SWITCH DS-1H","","","","","",2,"ตัว",,"",0.00,"          34","           1"
"","","","002-07014","VOX VFS-2A PEDAL SWITCH","","","","","",1,"ตัว",,"",0.00,"           4"
"","","","002-07015","KORG FOOT CONTROLLER PEDAL UNIT PU-2","","","","","",1,"ตัว",,"",0.00,"           8"
"","","","002-07016","VOX VOLUME PEDAL V860","","","","","",1,"ตัว",,"",0.00
"","","","002-07109","VOX CABLE CLASS A VGC-13 4M","","","","","",2,"เส้น",,"",0.00,"          18"
"","","","002-07110","VOX CABLE CLASS A VGC-19 6M","","","","","",3,"เส้น",,"",0.00,"          13","           1"
"","","","002-07518","KORG SOFT CASE KINGKORG & KROME 61 KEY","","","","","",1,"ใบ",,"",0.00,"          19"
