"","คลังสินค้า เบ๊เงียบเส็ง                                  ","หน้า   :        1"
"","สินค้าคงเหลือ แยกตามคลังสินค้า    ","ณ วันที่  14 มิ.ย. 2569"
"","รหัสสินค้าจาก","001-01005-000     ","ถึง","VRS10304514  ","วันที่ : 14/06/2569"
"","หมวดสินค้าจาก","                  ","ถึง","9999"
"","คลังสินค้าจาก","01                ","ถึง","99"
"","คลัง","","รหัสสินค้า","ชื่อสินค้า","","","","","","  จำนวน","","ราคาต่อหน่วย","","มูลค่าคงเหลือ","ยอดค้างรับ","ยอดค้างส่ง"
"","PL","","","","ล๊อตคงเหลือ","","  จำนวน","ราคาต่อหน่วย","มูลค่าในล๊อต"
"","01","คลังสำนักงานใหญ่"
"","","","F912-5004-406","FD SPAGHETTI LOGO WINDBREAKER NAVY (M)","","","","","",7,"ตัว",920.35,"",6442.45
"","","","F912-5004-506","FD SPAGHETTI LOGO WINDBREAKER NAVY (L)","","","","","",4,"ตัว",920.35,"",3681.40
"","","","F922-2683-000","GRESTCH WALL MOUNTED BOTTLE OPENER","","","","","",4,"ชุด",372.24,"",1488.96
"","","","","","","","","","","---------------","","---------------","","---------------","---------------","---------------"
"","รวมคลัง","","01",38,"สินค้า","","","","",14,"",36793.68,"",515111.57,0,0
"","","","","","","","","","","===============","","===============","","===============","===============","==============="
"","02","คลัง WIZTRUE  บางนา"
"","","","","","","","","","","---------------","","---------------","","---------------","---------------","---------------"
"","รวมคลัง","","02",0,"สินค้า","","","","",0,"",,"",0.00,0,0
"","","","","","","","","","","===============","","===============","","===============","===============","==============="
"","03","สินค้ามีตำหนิและรออะไหล่"
"","","","F030-0510-505","SQ DELUXE STRAT HOT RAIL RW OWT","","","","","",1,"ตัว",6613.40,"",6613.40
"","","","F030-1500-500","SQ DELUXE DIMENSION BASS V RW 3TS","","","","","",1,"ตัว",7374.97,"",7374.97
"","","","F030-2700-500","SQ VINTAGE MOD. JAGUAR HH 3TS","","","","","",1,"ตัว",6062.42,"",6062.42
"","","","F031-0760-532","SQ AFFINITY JAZZ BASS BSB","","","","","",1,"ตัว",4015.38,"",4015.38
"","","","F096-0250-221","FENDER A. PM-1E STD DREADNOUGHT NATURAL","","","","","",1,"ตัว",16140.55,"",16140.55
"","","","F096-0270-221","FENDER A. PM-1 DLX DREADNOUGHT NATURAL","","","","","",1,"ตัว",20175.68,"",20175.68
"","","","F096-0290-203","FENDER A. PM-1 DLX DREADNOUGHT SUNBURST","","","","","",1,"ตัว",20175.68,"",20175.68
"","","","","","","","","","","---------------","","---------------","","---------------","---------------","---------------"
"","รวมคลัง","","03",7,"สินค้า","","","","",7,"",11508.30,"",80558.08,0,0
"","","","","","","","","","","===============","","===============","","===============","===============","==============="
"","04","คลังสำนักงานเพชรบุรีตัดใหม่"
"","","","002-11108","VOX AMP. GUITAR AC30S1","","","","","",1,"ตู้",,"",0.00
"","","","002-11114-HW","VOX AMP. GUITAR AC15HW1-G12C","","","","","",1,"ตู้",,"",0.00
"","","","002-20001-1","VOX ACOUSTIC DRUM V-TELSTAR 1/2","","","","","",1,"ชุด",,"",0.00
"","","","002-20001-2","VOX ACOUSTIC DRUM V-TELSTAR 2/2","","","","","",1,"ชุด",,"",0.00
"","","","032-08002","SAMSON RESOLV 65A POWER MONITOR (PAIR)","","","","","",2,"คู่",,"",0.00
"","","","050-00000","เพิ่มนำเบอร์","","","","","",-54,"รายการ",,"",0.00
"","","","050-B161-1","CABLE POWER AC I&O VCT CABLE 1.5 M BLACK 3","","","","","",346,"เส้น",,"",0.00
"","","","F002-1642-049A","FENDER PILOT LIGHT #T47 (2)","","","","","",26,"ตัว",,"",0.00
"","","","F005-3736-049","FD CONTROL 100 KB CONC TOCOS","","","","","",18,"ตัว",,"",0.00
"","คลังสินค้า เบ๊เงียบเส็ง                                  ","หน้า   :        3"
"","สินค้าคงเหลือ แยกตามคลังสินค้า    ","ณ วันที่  14 มิ.ย. 2569"
"","รหัสสินค้าจาก","001-01005-000     ","ถึง","VRS10304514  ","วันที่ : 14/06/2569"
"","คลัง","","รหัสสินค้า","ชื่อสินค้า","","","","","","  จำนวน","","ราคาต่อหน่วย","","มูลค่าคงเหลือ","ยอดค้างรับ","ยอดค้างส่ง"
"","","","F005-6253-049","FENDER KNOB PICKUP SWITCH PARCHMEN (2)","","","","","",5,"ชุด",,"",0.00
"","","","F006-4063-049","FD REVERB UNIT 4 SPRING 4AB3C1B","","","","","",3,"ตัว",,"",0.00
"","","","F010-7112-841","FENDER YNGWIE MALMSTEEN STRAT MN V.WHITE","","","","","",1,"ตัว",,"",0.00
